"filename", "language", "TypeScript", "JSON with Comments", "JSON", "YAML", "Prisma", "JavaScript", "SQL", "TypeScript React", "XML", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\reservationHours\useAvailableHours.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, -4, -39
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\washingDevice\getAllDevices\endpoints.ts", "TypeScript", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -22
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\washingDevice\getAllDevices\types.ts", "TypeScript", -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\washingDevice\getAllDevices\useDevices.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -12, 0, -1, -3, -16
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\washingDevice\getDevicesSelect\endpoints.ts", "TypeScript", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -21
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\washingDevice\getDevicesSelect\types.ts", "TypeScript", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\washingDevice\getDevicesSelect\useDevicesSelect.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -2, -30
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\assets\icons\doorInterior.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -1, -14
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\Loading\SplashScreen.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -3, -28
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\WashCard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -41, 0, 0, -5, -46
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\WashingMachine\WashingMachineDoor.styles.ts", "TypeScript", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -24
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\WashingMachine\WashingMachineDoor.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -4, -29
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\ButtonState.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -64, 0, 0, -7, -71
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\DateTimePicker\DateTimePicker.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -39, 0, -1, -10, -50
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\Modal\DialogSuccesfullReservation\SuccessfulReservation.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -78, 0, -3, -12, -93
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\Modal\ModalLayout\ModalOverlay.styles.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\Modal\ModalLayout\ModalOverlay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -48, 0, 0, -3, -51
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\Modal\TimePicker\TimePicker.styles.ts", "TypeScript", -23, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4, -28
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\Modal\TimePicker\TimePicker.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -194, 0, -4, -16, -214
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\SelectInput\SelectInput.styles.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\SelectInput\SelectInput.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -154, 0, 0, -12, -166
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\SwitchWithLabel\SwitchWithLabel.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -6, -45
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\common\TimePickerScroll\TimePickerScroll.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -260, 0, 0, -18, -278
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\icons\DoorInterior.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -2, -32
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\laundry\Device\Device.styles.ts", "TypeScript", -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -18
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\laundry\Device\Device.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -139, 0, -4, -14, -157
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\components\laundry\Laundry.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, -54, 0, 0, -7, -61
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\helper\Metrics.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -12
