"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\Auth.controller.ts", "TypeScript", 36, 0, 7, 43
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\Laundry.controller.ts", "TypeScript", 12, 0, 3, 15
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\Reservation.controller.ts", "TypeScript", 93, 6, 20, 119
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\Student.controller.ts", "TypeScript", 17, 0, 4, 21
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\WashingMachine.controller.ts", "TypeScript", 56, 0, 7, 63
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\interfaces\index.interface.ts", "TypeScript", 18, 0, 2, 20
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\middleware\Auth.ts", "TypeScript", 48, 0, 4, 52
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\routes\routes.ts", "TypeScript", 19, 0, 2, 21
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\utils\ConvertKeys.ts", "TypeScript", 12, 0, 3, 15
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\utils\ConvertTypes.ts", "TypeScript", 8, 0, 2, 10
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\utils\mqttServer.ts", "TypeScript", 40, 5, 13, 58
"Total", "-", 359, 11, 67, 437
