"filename", "language", "TypeScript", "TypeScript React", "XML", "JSON with Comments", "SQL", "Prisma", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\Loading\SplashScreen.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\WashCard.tsx", "TypeScript React", 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\WashingMachine\WashingMachineDoor.styles.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\WashingMachine\WashingMachineDoor.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\ButtonState.tsx", "TypeScript React", 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\DateTimePicker\DateTimePicker.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 0, 1, 8, 43
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\Modal\DialogSuccesfullReservation\SuccessfulReservation.tsx", "TypeScript React", 0, 70, 0, 0, 0, 0, 0, 0, 3, 13, 86
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\Modal\ModalLayout\ModalOverlay.styles.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\Modal\ModalLayout\ModalOverlay.tsx", "TypeScript React", 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\Modal\TimePicker\TimePicker.styles.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\Modal\TimePicker\TimePicker.tsx", "TypeScript React", 0, 194, 0, 0, 0, 0, 0, 0, 4, 16, 214
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\SelectInput\SelectInput.styles.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\SelectInput\SelectInput.tsx", "TypeScript React", 0, 95, 0, 0, 0, 0, 0, 0, 0, 11, 106
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\SwitchWithLabel\SwitchWithLabel.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\icons\DoorInterior.tsx", "TypeScript React", 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\laundry\Device\Device.styles.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\laundry\Device\Device.tsx", "TypeScript React", 0, 111, 0, 0, 0, 0, 0, 0, 1, 10, 122
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\laundry\Laundry.tsx", "TypeScript React", 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\config\supabaseClient.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\helper\Metrics.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\interfaces\index.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\navigation\DrawerNavigation.tsx", "TypeScript React", 0, 72, 0, 0, 0, 0, 0, 0, 0, 10, 82
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\navigation\TabNavigator.tsx", "TypeScript React", 0, 121, 0, 0, 0, 0, 0, 0, 0, 7, 128
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\routes\routes.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
