"filename", "language", "TypeScript React", "TypeScript", "XML", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\Modal\TimePicker\TimePicker.styles.ts", "TypeScript", 0, 23, 0, 1, 4, 28
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\Modal\TimePicker\TimePicker.tsx", "TypeScript React", 194, 0, 0, 4, 16, 214
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\SelectInput\SelectInput.styles.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\SelectInput\SelectInput.tsx", "TypeScript React", 95, 0, 0, 0, 11, 106
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\common\SwitchWithLabel\SwitchWithLabel.tsx", "TypeScript React", 36, 0, 0, 0, 6, 42
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\icons\DoorInterior.tsx", "TypeScript React", 30, 0, 0, 0, 2, 32
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\laundry\Device\Device.styles.ts", "TypeScript", 0, 15, 0, 0, 3, 18
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\laundry\Device\Device.tsx", "TypeScript React", 111, 0, 0, 1, 10, 122
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\laundry\Laundry.tsx", "TypeScript React", 54, 0, 0, 0, 7, 61
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\config\supabaseClient.ts", "TypeScript", 0, 7, 0, 0, 2, 9
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\helper\Metrics.ts", "TypeScript", 0, 8, 0, 0, 4, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\hooks\useAuthToken.ts", "TypeScript", 0, 32, 0, 0, 5, 37
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\interfaces\index.ts", "TypeScript", 0, 33, 0, 0, 7, 40
