"filename", "language", "TypeScript", "TypeScript React", "XML", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\laundry\Device\Device.tsx", "TypeScript React", 0, 111, 0, 1, 10, 122
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\components\laundry\Laundry.tsx", "TypeScript React", 0, 54, 0, 0, 7, 61
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\config\supabaseClient.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\helper\Metrics.ts", "TypeScript", 8, 0, 0, 0, 4, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\interfaces\index.ts", "TypeScript", 33, 0, 0, 0, 7, 40
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\navigation\DrawerNavigation.tsx", "TypeScript React", 0, 72, 0, 0, 10, 82
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\navigation\TabNavigator.tsx", "TypeScript React", 0, 121, 0, 0, 7, 128
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\routes\routes.ts", "TypeScript", 5, 0, 0, 0, 2, 7
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.const.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.styles.ts", "TypeScript", 8, 0, 0, 0, 4, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Auth\Auth.tsx", "TypeScript React", 0, 161, 0, 1, 14, 176
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Chat\Chat.tsx", "TypeScript React", 0, 10, 0, 0, 3, 13
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Chat\ChatNavigator.tsx", "TypeScript React", 0, 15, 0, 0, 4, 19
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Home\Home.tsx", "TypeScript React", 0, 54, 0, 0, 6, 60
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Home\HomeNavigator.tsx", "TypeScript React", 0, 55, 0, 0, 5, 60
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Inbox\Inbox.tsx", "TypeScript React", 0, 6, 0, 0, 3, 9
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Inbox\InboxNavigator.tsx", "TypeScript React", 0, 15, 0, 0, 5, 20
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\Profile.styles.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\Profile.tsx", "TypeScript React", 0, 49, 0, 0, 10, 59
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Profile\ProfileNavigator.tsx", "TypeScript React", 0, 15, 0, 0, 4, 19
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\History\History.styles.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\History\History.tsx", "TypeScript React", 0, 78, 0, 0, 6, 84
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservation.const.ts", "TypeScript", 32, 0, 0, 0, 8, 40
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservation.styles.ts", "TypeScript", 9, 0, 0, 0, 3, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservations.tsx", "TypeScript React", 0, 225, 0, 1, 20, 246
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Tabs\WashTabs.styles.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Tabs\WashTabs.tsx", "TypeScript React", 0, 178, 0, 10, 20, 208
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\UserWash\UserWash.styles.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\UserWash\UserWash.tsx", "TypeScript React", 0, 161, 0, 2, 20, 183
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\WashNavigator.tsx", "TypeScript React", 0, 20, 0, 0, 6, 26
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\LoginStore.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\ReservationStore.ts", "TypeScript", 59, 0, 0, 0, 7, 66
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\UserStore.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\assets.d.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\env.d.tsx", "TypeScript React", 0, 5, 0, 0, 1, 6
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\react-native-svg.d.ts", "TypeScript", 7, 0, 0, 0, 0, 7
"Total", "-", 522, 2193, 13, 26, 362, 3116
